DATE,e_calcium,e_calories,e_carbs,e_cholesterol,e_fiber,e_protein,e_sat_fat,e_sodium,e_sugar,e_unsat_fat,m_active_time,m_calories,m_distance,m_inactive_time,m_lcat,m_lcit,m_steps,m_workout_count,m_workout_time,n_asleep_time,n_awake,n_awake_time,n_awakenings,n_bedtime,n_deep,n_duration,n_light,n_quality,o_count,o_mood,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_deep,s_duration,s_light,s_quality
20130717,,,,,,,,,,,5295.0,423.852999471,9019.0,27660.0,1118.0,6600.0,10775.0,0.0,0.0,,,,,,,,,,,,13.0,2514.0,442.0,1.0,2.0,4560.0,23896.0,19336.0,63.0
20130718,,,,,,,,,,,3927.0,308.182999521,6550.0,30000.0,966.0,7080.0,7909.0,0.0,0.0,,,,,,,,,,,,1394.0,2797.0,428.0,3.0,1373.0,8939.0,27056.0,18117.0,80.0
20130719,,,,,,,,,,,3162.0,241.240000188,5120.0,29220.0,724.0,7560.0,6263.0,0.0,0.0,,,,,,,,,,,,1420.0,2356.0,454.0,1.0,1409.0,5460.0,26842.0,21382.0,72.0
20130720,,,,,,,,,,,9003.0,590.505998284,13680.0,20160.0,1806.0,7380.0,17066.0,0.0,0.0,1278.0,398.0,1337.0,0.0,1272.0,3671.0,3671.0,0.0,15.0,,,165.0,286.0,191.0,0.0,161.0,0.0,1791.0,1791.0,3.0
20130721,,,,,,,,,,,3400.0,268.663999148,5711.0,27600.0,956.0,7140.0,6862.0,0.0,0.0,,,,,,,,,,,,148.0,3449.0,596.0,2.0,131.0,8289.0,24639.0,16350.0,68.0
20130722,,,,,,,,,,,2962.0,229.969000608,4916.0,28140.0,508.0,5220.0,5962.0,0.0,0.0,,,,,,,,,,,,13.0,4298.0,462.0,2.0,1437.0,4680.0,23670.0,18990.0,62.0
20130723,,,,,,,,,,,5765.0,423.2040006,9396.0,28140.0,2698.0,4380.0,11463.0,0.0,0.0,,,,,,,,,,,,1410.0,5322.0,459.0,3.0,1399.0,10200.0,24748.0,14548.0,76.0
20130724,,,,,,,,,,,4276.0,317.944997624,6930.0,26940.0,924.0,3420.0,8445.0,0.0,0.0,375.0,1632.0,464.0,1.0,354.0,0.0,5248.0,5248.0,9.0,,,1429.0,3554.0,203.0,3.0,1418.0,1500.0,10081.0,8581.0,25.0
20130725,,,,,,,,,,,2832.0,221.352998644,4691.0,28620.0,856.0,5100.0,5690.0,0.0,0.0,,,,,,,,,,,,1360.0,1743.0,381.0,1.0,1356.0,9832.0,26309.0,16477.0,82.0
20130726,,,,,,,,,,,3413.0,284.335998923,5897.0,28560.0,887.0,7320.0,7018.0,0.0,0.0,,,,,,,,,,,,21.0,4424.0,455.0,1.0,10.0,5160.0,23880.0,18720.0,66.0
20130727,,,,,,,,,,,36.0,2.93900001049,61.0,0.0,27.0,0.0,73.0,0.0,0.0,,,,,,,,,,,,1410.0,6309.0,619.0,4.0,1399.0,8150.0,33389.0,25239.0,88.0
